# Common Star Names Database
# Format: Gaia_DR3_source_id,Common_Name,SAO,HD,HIP,TYC,Constellation,Notes
# Brightest and most well-known stars

# Alpha stars (brightest in constellation)
2652764709496131200,Sirius,151881,48915,32349,5496-1026-1,Canis Major,Brightest star in night sky
4472832130942575872,Canopus,234480,45348,30438,8538-2822-1,Carina,Second brightest star
5340040567530378624,Arcturus,100944,124897,69673,1990-2527-1,Bootes,Fourth brightest star
2618709380455063424,Vega,67174,172167,91262,3105-2070-1,Lyra,Fifth brightest star
2483618161171672832,Capella,40186,34029,24608,1897-1116-1,Auriga,Sixth brightest star
6897537427869573760,Rigel,131907,34085,24436,5331-1752-1,Orion,Seventh brightest star
545827370388883840,Procyon,115756,61421,37279,187-2184-1,Canis Minor,Eighth brightest star
7001135808431135616,Betelgeuse,113271,39801,27989,4774-1136-1,Orion,Variable red supergiant
2090070885554436992,Achernar,293818,10144,7588,9159-684-1,Eridanus,Flattest known star
5849519486726590592,Hadar,252582,122451,68702,8582-2454-1,Centaurus,Beta Centauri
5453804681476640384,Altair,125122,187642,97649,1243-2021-1,Aquila,Twelfth brightest star
5132766955826987136,Aldebaran,94027,29139,21421,1266-1416-1,Taurus,Bull's eye star

# Beta stars (second brightest)
4293678397322932736,Rigil Kentaurus,252838,128620,71683,8470-819-1,Centaurus,Alpha Centauri
4293670687442148224,Toliman,252838,128621,71681,8470-819-2,Centaurus,Alpha Centauri B
5849558263609035520,Agena,252582,122451,68702,8582-2454-1,Centaurus,Beta Centauri
7001135808431135616,Betelgeuse,113271,39801,27989,4774-1136-1,Orion,Red supergiant
5533833017897066624,Spica,157923,116658,65474,6626-1182-1,Virgo,Blue giant binary
4427773526950133504,Antares,184415,148478,80763,6839-1741-1,Scorpius,Red supergiant
5853498713160606592,Pollux,78716,62509,37826,1985-460-1,Gemini,Orange giant
545827370388883840,Procyon,115756,61421,37279,187-2184-1,Canis Minor,Binary star system

# Famous named stars
724150705952106752,Polaris,308,8890,11767,4628-237-1,Ursa Minor,North Star
5829642615214967936,Deneb,19014,197345,102098,3138-3060-1,Cygnus,Alpha Cygni
2650825017058833152,Bellatrix,112740,35468,25336,4774-1848-1,Orion,Amazon Star
2542462002008550784,Mintaka,132346,36486,26727,4774-1588-1,Orion,Belt star
2444913574403008000,Alnilam,132223,37128,26311,4774-1160-1,Orion,Belt star
2539905936987806720,Alnitak,132301,37742,26727,4774-1659-1,Orion,Belt star
3555298692598179072,Regulus,78416,87901,49669,2467-1066-1,Leo,Heart of the Lion
5066002071299965696,Fomalhaut,216956,216956,113368,6697-0952-1,Piscis Austrinus,Autumn star

# Navigation stars
3208214292253153024,Dubhe,85301,95689,54061,2148-1324-1,Ursa Major,Pointer star
4694387157978916096,Merak,85235,95418,53910,2148-1319-1,Ursa Major,Pointer star
4472832130942575872,Acrux,252524,108248,60718,8575-2176-1,Crux,Southern Cross
4467474986436183424,Gacrux,221127,108903,61084,8560-2529-1,Crux,Red giant
724150705952106752,Polaris,308,8890,11767,4628-237-1,Ursa Minor,Pole star
6299942096302206976,Kochab,8102,131873,72607,4250-1193-1,Ursa Minor,Beta UMi

# Variable stars
724150705952106752,Mira,101,10826,14576,398-1312-1,Cetus,Prototype variable
7001135808431135616,Algol,38592,19356,14576,2362-1199-1,Perseus,Eclipsing binary
5810203635462671616,Delta Cephei,19302,213306,110991,3308-1770-1,Cepheus,Prototype Cepheid

# Historical importance
2652764709496131200,Dog Star,151881,48915,32349,5496-1026-1,Canis Major,Ancient name for Sirius
2618709380455063424,Wega,67174,172167,91262,3105-2070-1,Lyra,Former pole star
3555298692598179072,Cor Leonis,78416,87901,49669,2467-1066-1,Leo,Heart of Lion
5340040567530378624,Job's Star,100944,124897,69673,1990-2527-1,Bootes,Biblical reference

# Double/Multiple stars
5853498713160606592,Castor,77984,60179,36850,1985-456-1,Gemini,Six-star system
2090070885554436992,Mizar,84053,116656,65378,2148-1312-1,Ursa Major,Famous double
2090070885554436976,Alcor,84054,116842,65477,2148-1312-2,Ursa Major,Mizar companion
4293678397322932736,Proxima Centauri,258774,128620,70890,8470-819-1,Centaurus,Nearest star

# Seasonal markers
5132766955826987136,Bull's Eye,94027,29139,21421,1266-1416-1,Taurus,Winter marker
5533833017897066624,Azimech,157923,116658,65474,6626-1182-1,Virgo,Spring marker
5829642615214967936,Dhaneb,19014,197345,102098,3138-3060-1,Cygnus,Summer marker
5066002071299965696,Autumn Star,216956,216956,113368,6697-0952-1,Piscis Austrinus,Fall marker
